RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  196  227     0     0  con    0  1.0D+00  1.7D-01  1.203D-02  1.326D+00
  197  228     0     0  con    0  1.0D+00  1.2D-01  5.829D-03  1.326D+00
  198  229     0     0  con    0  1.0D+00  1.2D-01  6.937D-03  1.325D+00
  199  230     0     0  con    0  1.0D+00  4.4D-02  6.437D-03  1.325D+00
  200  231     0     0  con    0  1.0D+00  2.7D-01  1.641D-02  1.324D+00
  201  232     0     0  con    0  1.0D+00  3.3D-01  9.185D-03  1.324D+00
  202  233     0     0  con    0  1.0D+00  3.5D-01  7.376D-03  1.323D+00
  203  234     0     0  con    0  1.0D+00  1.5D+00  1.688D-02  1.321D+00
  204  236     0     0  con    1  4.5D-01  3.5D-01  1.375D-02  1.320D+00
  205  237     0     0  con    0  1.0D+00  2.2D-01  9.640D-03  1.319D+00
  206  238     0     0  con    0  1.0D+00  3.2D-01  1.343D-02  1.317D+00
  207  240     0     0  con    1  2.6D-02  1.4D-01  8.632D-03  1.317D+00
  208  241     0     0  con    0  1.0D+00  2.5D-01  7.837D-03  1.316D+00
  209  242     0     0  con    0  1.0D+00  3.7D-01  1.711D-02  1.316D+00
  210  243     0     0  con    0  1.0D+00  1.6D-01  1.317D-02  1.315D+00
  211  244     0     0  con    0  1.0D+00  3.8D-01  8.051D-03  1.313D+00
  212  245     0     0  con    0  1.0D+00  1.2D-01  8.530D-03  1.313D+00
  213  246     0     0  con    0  1.0D+00  3.4D-01  6.749D-03  1.312D+00
  214  247     0     0  con    0  1.0D+00  4.3D-01  1.802D-02  1.311D+00
  215  248     0     0  con    0  1.0D+00  4.4D-01  1.062D-02  1.309D+00
  216  249     0     0  con    0  1.0D+00  4.5D-01  7.032D-03  1.309D+00
  217  251     0     0  con    1  4.0D-01  6.0D-02  7.909D-03  1.308D+00
  218  252     0     0  con    0  1.0D+00  4.9D-02  7.608D-03  1.308D+00
  219  253     0     0  con    0  1.0D+00  6.0D-02  7.170D-03  1.308D+00
  220  254     0     0  con    0  1.0D+00  2.0D-01  6.958D-03  1.308D+00
  221  256     0     0  con    1  4.6D-01  3.9D-01  2.932D-02  1.307D+00
  222  257     0     0  con    0  1.0D+00  3.7D-01  1.837D-02  1.306D+00
  223  258     0     0  con    0  1.0D+00  3.9D-01  8.044D-03  1.305D+00
  224  259     0     0  con    0  1.0D+00  7.6D-02  6.007D-03  1.304D+00
  225  260     0     0  con    0  1.0D+00  2.1D-01  5.689D-03  1.304D+00
  226  262     0     0  con    1  6.8D-02  7.9D-02  6.015D-03  1.304D+00
  227  263     0     0  con    0  1.0D+00  7.9D-02  5.138D-03  1.303D+00
  228  264     0     0  con    0  1.0D+00  7.6D-02  4.578D-03  1.303D+00
  229  265     0     0  con    0  1.0D+00  2.2D-01  9.060D-03  1.303D+00
  230  266     0     0  con    0  1.0D+00  1.5D-01  4.814D-03  1.303D+00
  231  267     0     0  con    0  1.0D+00  2.8D-01  4.732D-03  1.302D+00
  232  268     0     0  con    0  1.0D+00  1.1D-01  6.351D-03  1.302D+00
  233  270     0     0  con    1  4.9D-01  3.6D-01  1.855D-02  1.301D+00
  234  271     0     0  con    0  1.0D+00  5.8D-02  4.665D-03  1.301D+00
  235  272     0     0  con    0  1.0D+00  6.7D-02  7.423D-03  1.301D+00
  236  273     0     0  con    0  1.0D+00  3.8D-02  9.985D-03  1.301D+00
  237  274     0     0  con    0  1.0D+00  1.1D-01  1.120D-02  1.300D+00
  238  276     0     0  con    1  4.2D-01  8.9D-02  1.895D-02  1.300D+00
  239  277     0     0  con    0  1.0D+00  2.9D-01  8.683D-03  1.299D+00
  240  278     0     0  con    0  1.0D+00  3.8D-01  5.226D-03  1.299D+00
  241  279     0     0  con    0  1.0D+00  7.9D-02  1.997D-02  1.298D+00
  242  280     0     0  con    0  1.0D+00  1.3D-01  1.075D-02  1.298D+00
  243  281     0     0  con    0  1.0D+00  2.4D-01  4.930D-03  1.297D+00
  244  282     0     0  con    0  1.0D+00  2.5D-01  1.619D-02  1.297D+00
  245  283     0     0  con    0  1.0D+00  2.1D-01  2.055D-02  1.296D+00
  246  285     0     0  con    1  1.5D-01  5.4D-02  2.870D-02  1.296D+00
  247  286     0     0  con    0  1.0D+00  9.3D-02  1.363D-02  1.295D+00
  248  287     0     0  con    0  1.0D+00  8.8D-02  5.285D-03  1.295D+00
  249  288     0     0  con    0  1.0D+00  4.1D-02  6.541D-03  1.295D+00
  250  289     0     0  con    0  1.0D+00  1.1D-02  9.943D-03  1.295D+00
  251  290     0     0  con    0  1.0D+00  6.3D-02  1.463D-02  1.294D+00
  252  291     0     0  con    0  1.0D+00  5.1D-01  2.096D-02  1.294D+00
  253  292     0     0  con    0  1.0D+00  2.8D-01  1.846D-02  1.293D+00
  254  293     0     0  con    0  1.0D+00  3.2D-01  8.304D-03  1.292D+00
  255  294     0     0  con    0  1.0D+00  2.4D-01  1.534D-02  1.292D+00
  256  295     0     0  con    0  1.0D+00  2.5D-02  7.969D-03  1.292D+00
  257  296     0     0  con    0  1.0D+00  4.6D-02  3.885D-03  1.292D+00
